"来源","区块/页面","key","中文","English","备注"
"i18n","pvpRoom","pvpRoom.waitingPlayers（合并）","等待玩家（{N}/2）","Waiting for players ({N}/2)","🧩 已合并整句：由 pvpRoom.waitingPlayersPrefix + pvpRoom.waitingPlayersSuffix 运行时拼接而成。{…} 为运行时变量，翻译时请保留占位符与前后空格。"
"i18n","pvpRoom","pvpRoom.waitingHost","等待房主開始遊戲…","Waiting for the host to start…",""
"i18n","pvpRoom","pvpRoom.dissolveRoom","解散房間","Dissolve Room",""
"i18n","results","results.loading","加載中…","Loading…",""
"i18n","results","results.backHome","回到主頁","Back to Home",""
"i18n","results","results.notAssessed","尚未完成測評","Assessment not completed yet",""
"i18n","results","results.startAssess","開始測評","Start Assessment",""
"i18n","results","results.title","你的人格畫像","Your Personality Portrait",""
"i18n","results","results.intro","這張人格圖譜既是你的心理輪廓，也是後續牌局中需要完成的維度目標。","This profile is both your psychological portrait and the dimension goals you will aim to complete in the game.",""
"i18n","results","results.readHint","解讀提示","How to read it",""
"i18n","results","results.readBody","分數越高，意味着你在對應維度中越容易積累目標張數；分數越低，則該維度更剋制，也更需要謹慎判斷。","Higher scores mean you accumulate target cards more easily in that dimension; lower scores mean it is more restrained and needs more careful judgement.",""
"i18n","results","results.pvp","聯機對戰","Play Online",""
"i18n","results","results.single","單機對戰","Play Solo",""
"i18n","results","results.reassess","重新測評","Retake Assessment",""
"i18n","cards","card.1","我是派對中的靈魂人物。","I am the life of the party.",""
"i18n","cards","card.2","我覺得自己很少關心別人。","I feel little concern for others.",""
"i18n","cards","card.3","我隨時做好準備。","I am always prepared.",""
"i18n","cards","card.4","我容易感到壓力過大。","I get stressed out easily.",""
"i18n","cards","card.5","我詞彙豐富。","I have a rich vocabulary.",""
"i18n","cards","card.6","我話不多。","I don't talk a lot.",""
"i18n","cards","card.7","我對人感興趣。","I am interested in people.",""
"i18n","cards","card.8","我總是丟三落四。","I leave my belongings around.",""
"i18n","cards","card.9","我大多時候是放鬆的。","I am relaxed most of the time.",""
"i18n","cards","card.10","我對於理解抽象概念有困難。","I have difficulty understanding abstract ideas.",""
"i18n","cards","card.11","我和其他人在一起時感覺自在。","I feel comfortable around people.",""
"i18n","cards","card.12","我會侮辱別人。","I insult people.",""
"i18n","cards","card.13","我經常注意細節。","I pay attention to details.",""
"i18n","cards","card.14","我時常為事擔心。","I worry about things.",""
"i18n","cards","card.15","我有生動的想像力。","I have a vivid imagination.",""
"i18n","cards","card.16","我是個低調的人。","I keep in the background.",""
"i18n","cards","card.17","我會同情他人的感受。","I sympathize with others' feelings.",""
"i18n","cards","card.18","我常把事物弄得一團糟。","I make a mess of things.",""
"i18n","cards","card.19","我很少感到鬱悶。","I seldom feel blue.",""
"i18n","cards","card.20","我對抽象概念不感興趣。","I am not interested in abstract ideas.",""
"i18n","cards","card.21","我總是主動開始談話。","I start conversations.",""
"i18n","cards","card.22","我對別人的問題不感興趣。","I am not interested in other people's problems.",""
"i18n","cards","card.23","我會立即將日常家務做完。","I get chores done right away.",""
"i18n","cards","card.24","我容易受擾亂。","I am easily disturbed.",""
"i18n","cards","card.25","我常有絕佳的點子。","I have excellent ideas.",""
"i18n","cards","card.26","我沒什麼話說。","I have little to say.",""
"i18n","cards","card.27","我有顆柔軟的心。","I have a soft heart.",""
"i18n","cards","card.28","我常忘記物歸原處。","I often forget to put things back in their proper place.",""
"i18n","cards","card.29","我容易感到悶悶不樂。","I get upset easily.",""
"i18n","cards","card.30","我想像力欠佳。","I do not have a good imagination.",""
"i18n","cards","card.31","在聚會中我會跟許多不同的人說話。","I talk to a lot of different people at parties.",""
"i18n","cards","card.32","我對別人沒什麼興趣。","I am not really interested in others.",""
"i18n","cards","card.33","我喜歡井然有序。","I like order.",""
"i18n","cards","card.34","我的心情變化很大。","I change my mood a lot.",""
"i18n","cards","card.35","我可以很快理解事物。","I am quick to understand things.",""
"i18n","cards","card.36","我不喜歡引起別人對自己的注意。","I don't like to draw attention to myself.",""
"i18n","cards","card.37","我總會為別人抽出時間。","I take time out for others.",""
"i18n","cards","card.38","我會推卸責任。","I shirk my duties.",""
"i18n","cards","card.39","我的心情時常起伏不定。","I have frequent mood swings.",""
"i18n","cards","card.40","我常使用艱澀的字彙。","I use difficult words.",""
"i18n","cards","card.41","我不介意成為注目的焦點。","I don't mind being the center of attention.",""
"i18n","cards","card.42","我能感受他人的情緒。","I feel others' emotions.",""
"i18n","cards","card.43","我總是按照預定計畫行事。","I follow a schedule.",""
"i18n","cards","card.44","我容易感到煩躁。","I get irritated easily.",""
"i18n","cards","card.45","我會花時間反思事物。","I spend time reflecting on things.",""
"i18n","cards","card.46","我和陌生人相處時顯得安靜。","I am quiet around strangers.",""
"i18n","cards","card.47","我能使人感到自在。","I make people feel at ease.",""
"i18n","cards","card.48","我對我的工作要求嚴謹。","I am exacting in my work.",""
"i18n","cards","card.49","我常感到鬱悶。","I often feel blue.",""
"i18n","cards","card.50","我總是充滿想法。","I am full of ideas.",""
"i18n","dimension","dimension.O.name","開放性","Openness",""
"i18n","dimension","dimension.O.description","對新體驗、創意和抽象思維的接納程度","","EN 暂缺，待补"
"i18n","dimension","dimension.C.name","盡責性","Conscientiousness",""
"i18n","dimension","dimension.C.description","自律、條理性和目標導向的程度","","EN 暂缺，待补"
"i18n","dimension","dimension.E.name","外向性","Extraversion",""
"i18n","dimension","dimension.E.description","社交活力、積極情緒和外向程度","","EN 暂缺，待补"
"i18n","dimension","dimension.A.name","宜人性","Agreeableness",""
"i18n","dimension","dimension.A.description","合作、信任和體貼他人的傾向","","EN 暂缺，待补"
"i18n","dimension","dimension.N.name","神經質","Neuroticism",""
"i18n","dimension","dimension.N.description","情緒不穩、易焦慮緊張與情緒起伏的傾向","","EN 暂缺，待补"
"i18n(页面模块)","rules","rules.backToTutorial","← 返回教學","← Back to Tutorial",""
"i18n(页面模块)","rules","rules.printOrPdf","🖨 列印 / 存 PDF","🖨 Print / Save PDF",""
"i18n(页面模块)","rules","rules.title","人格麻將 · 遊戲規則","Personalities Mahjong · Game Rules",""
"i18n(页面模块)","rules","rules.subtitle","用卡牌拼出你的人格 — Big Five 五大人格 × 麻將玩法","Build your personality with cards — Big Five traits × Mahjong play",""
"i18n(页面模块)","rules","rules.scanToEnter","掃碼進入遊戲","Scan to enter",""
"i18n(页面模块)","rules","rules.dimO","開放性","Openness",""
"i18n(页面模块)","rules","rules.dimC","盡責性","Conscientiousness",""
"i18n(页面模块)","rules","rules.dimE","外向性","Extraversion",""
"i18n(页面模块)","rules","rules.dimA","宜人性","Agreeableness",""
"i18n(页面模块)","rules","rules.dimN","神經質","Neuroticism",""
"i18n(页面模块)","rules","rules.sec1Title","一、遊戲目標","1. Goal",""
"i18n(页面模块)","rules","rules.goalIntroBefore","每位玩家先完成 ","Each player first completes the ",""
"i18n(页面模块)","rules","rules.goalAssessment","Big Five 人格測評","Big Five assessment",""
"i18n(页面模块)","rules","rules.goalIntroAfter","，得到五個維度的分數："," and gets a score for five dimensions: ",""
"i18n(页面模块)","rules","rules.goalDims","開放性 O、盡責性 C、外向性 E、宜人性 A、神經質 N。","Openness O, Conscientiousness C, Extraversion E, Agreeableness A, Neuroticism N.",""
"i18n(页面模块)","rules","rules.goalCollectBefore","遊戲目標是","The goal is to ",""
"i18n(页面模块)","rules","rules.goalCollectAll","集齊全部五個維度","collect all five dimensions",""
"i18n(页面模块)","rules","rules.goalCollectMid","。每個維度需要的牌數 = 你在該維度的分數",". The number of cards each dimension needs = your score in that dimension",""
"i18n(页面模块)","rules","rules.goalExample","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","rules","rules.goalWinBefore","。最先湊齊全部五維者「",". The first to complete all five dimensions """,""
"i18n(页面模块)","rules","rules.goalWinHu","食胡","Wins (Hu)",""
"i18n(页面模块)","rules","rules.goalWinAfter","」獲勝。",""".",""
"i18n(页面模块)","rules","rules.sec2Title","二、開局","2. Opening",""
"i18n(页面模块)","rules","rules.openItems[0]","每人依自己的人格分數發一手牌（分數越高，起手牌越多）。","Each player is dealt a hand based on their personality scores (higher score = bigger starting hand).",""
"i18n(页面模块)","rules","rules.openItems[1]","桌面中央為抽牌堆；打出的牌進入棄牌堆（抽牌堆摸完會把棄牌堆洗回，牌不會用盡）。","The draw pile sits in the center; discarded cards go to the discard pile (when the draw pile runs out, the discard pile is reshuffled back in, so cards never run out).",""
"i18n(页面模块)","rules","rules.openItems[2]","牌庫含少量「知識牌」，見第六節。","The deck contains a few ""Knowledge cards"" — see section 6.",""
"i18n(页面模块)","rules","rules.sec3Title","三、每回合流程","3. Turn Flow",""
"i18n(页面模块)","rules","rules.flowDraw","① 從抽牌堆摸 1 張","① Draw 1 from the draw pile",""
"i18n(页面模块)","rules","rules.flowDiscard","② 從手牌打出 1 張","② Discard 1 from your hand",""
"i18n(页面模块)","rules","rules.flowNext","輪到下一位（順時針）","Next player (clockwise)",""
"i18n(页面模块)","rules","rules.sec4Title","四、碰（搶牌）","4. Pong (Claiming)",""
"i18n(页面模块)","rules","rules.pongIntro","當有人打出一張人格牌，若你手上有同維度的牌、加上這張剛好湊滿該維度所需張數，可宣告「碰」：","When someone discards a personality card, if your hand has cards of the same dimension that — together with this card — exactly complete the count that dimension needs, you may declare ""Pong"":",""
"i18n(页面模块)","rules","rules.pongItems[0]","把這組牌歸檔，並立刻搶到出牌權（不用摸牌，直接打一張）。","Declare that set, and immediately seize the turn (no draw — discard one right away).",""
"i18n(页面模块)","rules","rules.pongItems[1]","自己回合也能用手牌湊齊宣告（自摸碰），每回合限一次。","On your own turn you can also complete a set from your hand (Self-draw Pong), once per turn.",""
"i18n(页面模块)","rules","rules.pongWarn","⚠ 張數必須剛好、且全為同維度。張數錯／維度錯／碰已歸檔的維度 → 失敗受罰。","⚠ The count must be exact and all of the same dimension. Wrong count / wrong dimension / Pong on an already-declared dimension → failed and penalized.",""
"i18n(页面模块)","rules","rules.sec5Title","五、食胡與失敗懲罰","5. Winning & Failure Penalty",""
"i18n(页面模块)","rules","rules.huLineBeforeHu","食胡：","Win (Hu): ",""
"i18n(页面模块)","rules","rules.huLineRest","當手牌能一次湊齊所有尚未歸檔的維度 → 宣告胡牌，立即獲勝。","When your hand can complete all not-yet-declared dimensions at once → declare a win and win immediately.",""
"i18n(页面模块)","rules","rules.penaltyIntroBold","失敗懲罰（罰停）：","Failure penalty (frozen): ",""
"i18n(页面模块)","rules","rules.penaltyIntroRest","碰或胡宣告失敗時——","When a Pong or Win declaration fails——",""
"i18n(页面模块)","rules","rules.penaltyItems[0].b","罰停：","Frozen: ",""
"i18n(页面模块)","rules","rules.penaltyItems[0].rest","下次輪到你時罰停一回合（自動跳過、不抽不出），期間不能碰／胡／搶牌。","On your next turn you are frozen for one turn (auto-skipped, no draw or discard), and cannot Pong / Win / claim during it.",""
"i18n(页面模块)","rules","rules.penaltyItems[1].b","亮牌：","Reveal: ",""
"i18n(页面模块)","rules","rules.penaltyItems[1].rest","碰失敗只亮出你押錯的牌；胡失敗亮出整手牌。","A failed Pong only reveals the cards you wrongly bet; a failed Win reveals your whole hand.",""
"i18n(页面模块)","rules","rules.penaltyWarn","→ 想清楚再宣告，賭錯代價很大。","→ Think before you declare — a wrong bet costs a lot.",""
"i18n(页面模块)","rules","rules.sec6Title","六、知識牌","6. Knowledge Cards",""
"i18n(页面模块)","rules","rules.knowledgeBody","牌庫中有少量知識牌（上面是心理學小知識）。它不屬於任何維度、不能用來湊牌。打出知識牌不會觸發別人搶牌（安全棄牌）。數量很少，偶爾摸到、打掉即可。","The deck has a few Knowledge cards (psychology trivia on them). They belong to no dimension and cannot be used to complete sets. Discarding a Knowledge card does not let others claim it (safe discard). They are rare — just discard them when you draw one.",""
"i18n(页面模块)","rules","rules.sec7Title","七、勝負與計分","7. Result & Scoring",""
"i18n(页面模块)","rules","rules.scoreItems[0]","有人食胡 → 該玩家直接獲勝。","If someone Wins (Hu) → that player wins outright.",""
"i18n(页面模块)","rules","rules.scoreItems[1]","打滿約定輪數仍無人胡 → 按已歸檔維度數排名，多者勝；同數則比剩餘手牌少者勝。","If the agreed number of rounds is played and no one wins → rank by number of Declared dimensions, most wins; on a tie, fewer remaining hand cards wins.",""
"i18n(页面模块)","rules","rules.footer","掃描頁首 QR code 即可開始 · ","Scan the QR code above to start · ",""
"i18n(页面模块)","stats","stats.loading","加載統計數據…","Loading statistics…",""
"i18n(页面模块)","stats","stats.back","← 返回首頁","← Back to home",""
"i18n(页面模块)","stats","stats.title","數據統計","Statistics",""
"i18n(页面模块)","stats","stats.subtitle","參與者出勤與對戰記錄的歸檔卷宗。","Archived records of participant attendance and matches.",""
"i18n(页面模块)","stats","stats.participantsChip","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","stats","stats.sessionsChip","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","stats","stats.exportCsv","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","stats","stats.fetchError","讀取數據失敗。請確認 Supabase 已執行 supabase/migrations/0001_game_records.sql 建好 3 張表。","Failed to load data. Make sure Supabase has run supabase/migrations/0001_game_records.sql to create the 3 tables.",""
"i18n(页面模块)","stats","stats.tabSummary","彙總統計","Summary stats",""
"i18n(页面模块)","stats","stats.tabDetail","對局明細","Match details",""
"i18n(页面模块)","stats","stats.emptySummary","暫無對局數據","No match data yet",""
"i18n(页面模块)","stats","stats.emptyDetail","暫無對局記錄","No match records yet",""
"i18n(页面模块)","stats","stats.colStudentId","學號","Student ID",""
"i18n(页面模块)","stats","stats.colGames","場次","Games",""
"i18n(页面模块)","stats","stats.colWins","勝場","Wins",""
"i18n(页面模块)","stats","stats.colAvgDeclared","均申報","Avg declared",""
"i18n(页面模块)","stats","stats.colBestRank","最佳名次","Best rank",""
"i18n(页面模块)","stats","stats.roundsSuffix","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","stats","stats.interruptedTag"," · 中斷局"," · interrupted game",""
"i18n(页面模块)","stats","stats.roomPrefix","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","stats","stats.playerDetail","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","stats","stats.csvYes","是","Yes",""
"i18n(页面模块)","stats","stats.csvHeaders[0]","學號","Student ID",""
"i18n(页面模块)","stats","stats.csvHeaders[1]","房間","Room",""
"i18n(页面模块)","stats","stats.csvHeaders[2]","結束時間","End time",""
"i18n(页面模块)","stats","stats.csvHeaders[3]","模式","Mode",""
"i18n(页面模块)","stats","stats.csvHeaders[4]","輪數","Rounds",""
"i18n(页面模块)","stats","stats.csvHeaders[5]","申報組數","Declared sets",""
"i18n(页面模块)","stats","stats.csvHeaders[6]","剩餘手牌","Cards left",""
"i18n(页面模块)","stats","stats.csvHeaders[7]","最終得分","Final score",""
"i18n(页面模块)","stats","stats.csvHeaders[8]","名次","Rank",""
"i18n(页面模块)","stats","stats.csvHeaders[9]","是否獲勝","Won",""
"i18n(页面模块)","stats","stats.csvHeaders[10]","是否中斷局","Interrupted game",""
"i18n(页面模块)","stats","stats.csvHeaders[11]","胡成功","Win success",""
"i18n(页面模块)","stats","stats.csvHeaders[12]","胡失敗","Win fail",""
"i18n(页面模块)","stats","stats.csvHeaders[13]","碰成功","Pong success",""
"i18n(页面模块)","stats","stats.csvHeaders[14]","碰失敗","Pong fail",""
"i18n(页面模块)","lobby","lobby.needAssess.title","請先完成人格測評","Complete the assessment first",""
"i18n(页面模块)","lobby","lobby.needAssess.body","完整人格刻度會決定你在牌局中的歸檔目標。","Your full personality profile sets the Declared goals you chase in a match.",""
"i18n(页面模块)","lobby","lobby.needAssess.startAssess","開始測評","Start assessment",""
"i18n(页面模块)","lobby","lobby.needAssess.backHome","← 返回首頁","← Back home",""
"i18n(页面模块)","lobby","lobby.backHome","← 返回主頁","← Back home",""
"i18n(页面模块)","lobby","lobby.title","對戰大廳","Battle Lobby",""
"i18n(页面模块)","lobby","lobby.subtitle","設置遊戲參數，準備進入人格博弈。","Set the match parameters and step into the mind game.",""
"i18n(页面模块)","lobby","lobby.difficultyLabel","AI 難度","AI difficulty",""
"i18n(页面模块)","lobby","lobby.difficultyOptions[0].label","簡單","Easy",""
"i18n(页面模块)","lobby","lobby.difficultyOptions[0].desc","憑直覺出牌","plays on instinct",""
"i18n(页面模块)","lobby","lobby.difficultyOptions[1].label","中等","Medium",""
"i18n(页面模块)","lobby","lobby.difficultyOptions[1].desc","會記牌分析","tracks & analyzes cards",""
"i18n(页面模块)","lobby","lobby.difficultyOptions[2].label","困難","Hard",""
"i18n(页面模块)","lobby","lobby.difficultyOptions[2].desc","推測你的心理","reads your mind",""
"i18n(页面模块)","lobby","lobby.roundsLabel","遊戲輪數","Rounds",""
"i18n(页面模块)","lobby","lobby.roundOptions[0].label","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","lobby","lobby.roundOptions[0].desc","快速","Quick",""
"i18n(页面模块)","lobby","lobby.roundOptions[1].label","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","lobby","lobby.roundOptions[1].desc","標準","Standard",""
"i18n(页面模块)","lobby","lobby.roundOptions[2].label","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","lobby","lobby.roundOptions[2].desc","持久","Long",""
"i18n(页面模块)","lobby","lobby.roundOptions[3].label","⟨动态句·见代码⟩","⟨动态句·见代码⟩",""
"i18n(页面模块)","lobby","lobby.roundOptions[3].desc","直到有人胡","until someone wins",""
"i18n(页面模块)","lobby","lobby.opponentsLabel","對手檔案","opponents",""
"i18n(页面模块)","lobby","lobby.start","開始對戰","Start Match",""
"i18n(页面模块)","tutorial","tutorial.eyebrow","Tutorial","Tutorial",""
"i18n(页面模块)","tutorial","tutorial.title","人格麻將 · 教學","Personalities Mahjong · Tutorial",""
"i18n(页面模块)","tutorial","tutorial.rulesHardcopy","規則 Hardcopy","Rules Hardcopy",""
"i18n(页面模块)","tutorial","tutorial.backHome","返回首頁","Back to Home",""
"i18n(页面模块)","tutorial","tutorial.ctaTitle","先看流程，再進沙盒打一回合","See the flow first, then play a round in the sandbox",""
"i18n(页面模块)","tutorial","tutorial.ctaBody","教學覆蓋：聯機 / 單機開局、答題檢查、房間流程、查看手牌、碰、食胡、失敗懲罰。","Covers: online / solo setup, assessment check, room flow, viewing cards, Pong, Win, and failure penalties.",""
"i18n(页面模块)","tutorial","tutorial.ctaButton","▶ 進入交互沙盒","▶ Enter Interactive Sandbox",""
"i18n(页面模块)","tutorial","tutorial.rulesPointsLabel","規則要點","Key Rules",""
"i18n(页面模块)","tutorial","tutorial.dgHand","你的手牌","Your hand",""
"i18n(页面模块)","tutorial","tutorial.dgIncoming","抽到／別人棄的","Drawn / discarded",""
"i18n(页面模块)","tutorial","tutorial.dgLocked","鎖定一組","Locked set",""
"i18n(页面模块)","tutorial","tutorial.dgGoalCaption","5 維全部歸檔 → 食胡獲勝","Declare all 5 dimensions → win (Hu)",""
"i18n(页面模块)","tutorial","tutorial.dgTableCaption","你 + 3 AI（或 1 到 3 名玩家）圍住牌堆","You + 3 AI (or 1 to 3 players) around the pile",""
"i18n(页面模块)","tutorial","tutorial.dgDrawCaption","每回合先從牌堆摸 1 張","Draw 1 from the pile to start your turn",""
"i18n(页面模块)","tutorial","tutorial.dgDiscardCaption","棄 1 張 → 開啟判讀窗口","Discard 1 → opens the read window",""
"i18n(页面模块)","tutorial","tutorial.dgWinBtn","食胡","Win",""
"i18n(页面模块)","tutorial","tutorial.dgWinCaption","5 維湊齊 → 按「食胡」","All 5 complete → press ""Win""",""
"i18n(页面模块)","tutorial","tutorial.dgFrozenCaption","宣告失敗 → 罰停 1 回合、亮牌","Failed call → frozen 1 turn, cards shown",""
"i18n(页面模块)","tutorial","tutorial.dgViewCaption","每回合 1 次：翻開 2 張看維度","Once a turn: flip 2 cards to see dimensions",""
"i18n(页面模块)","tutorial","tutorial.dgKnowledgeCaption","無維度 · 安全棄牌","No dimension · safe discard",""
"i18n(页面模块)","tutorial","tutorial.dgExitCaption","退出 → 座位永久跳過","Leave → seat skipped for good",""
"i18n(页面模块)","tutorial","tutorial.dgScoringCaption","無人胡 → 比已歸檔維度數","No win → rank by declared dimensions",""
"i18n(页面模块)","tutorial","tutorial.directStartAssess","直接開始測評","Go Straight to Assessment",""
"i18n(页面模块)","tutorial","tutorial.flowEyebrow","開始遊戲流程","Getting Started",""
"i18n(页面模块)","tutorial","tutorial.flowTitle","從首頁到開局","From Home to First Hand",""
"i18n(页面模块)","tutorial","tutorial.tabPvp","聯機對戰","Online Match",""
"i18n(页面模块)","tutorial","tutorial.tabSolo","單機對戰","Single Player",""
"i18n(页面模块)","tutorial","tutorial.prevStep","上一步","Previous",""
"i18n(页面模块)","tutorial","tutorial.nextStep","下一步","Next",""
"i18n(页面模块)","tutorial","tutorial.pvpFlow[0].title","進入聯機對戰","Enter Online Match",""
"i18n(页面模块)","tutorial","tutorial.pvpFlow[0].body","從首頁點「聯機對戰」。這裏不是直接進牌桌，而是先進入聯機大廳。","Tap ""Online Match"" on the home page. This does not take you straight to the table — it opens the online lobby first.",""
"i18n(页面模块)","tutorial","tutorial.pvpFlow[1].title","填寫身份信息","Fill in Your Identity",""
"i18n(页面模块)","tutorial","tutorial.pvpFlow[1].body","只輸入學號，並再次輸入學號確認。學號用於防止同一個人同時佔兩個活動房間的座位。","Just enter your student ID, then re-enter it to confirm. The student ID prevents one person from occupying two active rooms at once.",""
"i18n(页面模块)","tutorial","tutorial.pvpFlow[2].title","檢查是否完成測評","Check Whether You Have Been Assessed",""
"i18n(页面模块)","tutorial","tutorial.pvpFlow[2].body","已測評：系統會用你的五維分數生成本局目標張數。未測評：會先引導去測評，否則你的目標張數沒有依據。","Assessed: the system uses your five-dimension scores to generate this game’s target counts. Not assessed: you are guided to the assessment first, otherwise your target counts have no basis.",""
"i18n(页面模块)","tutorial","tutorial.pvpFlow[2].note","測評結果會影響每個維度需要歸檔幾張，所以不同玩家的胡牌路線不同。","Your assessment result determines how many cards each dimension needs to declare, so different players have different paths to a Win.",""
"i18n(页面模块)","tutorial","tutorial.pvpFlow[3].title","創建房間 / 加入房間","Create / Join a Room",""
"i18n(页面模块)","tutorial","tutorial.pvpFlow[3].body","房主創建房間後拿到房間碼並等待其他玩家；非房主輸入房間碼加入。4 個真實玩家坐齊後才適合開始。","The host creates a room, gets a room code, and waits for others; non-hosts enter the room code to join. It is best to start once 4 real players are seated.",""
"i18n(页面模块)","tutorial","tutorial.pvpFlow[4].title","開始遊戲","Start the Game",""
"i18n(页面模块)","tutorial","tutorial.pvpFlow[4].body","房主負責點開始。進入牌桌後，所有人的手牌維度默認不公開，只能靠描述、記憶和每回合查看能力判斷。","The host taps start. Once at the table, everyone’s hand dimensions are hidden by default — you rely on descriptions, memory, and your per-turn view ability to judge.",""
"i18n(页面模块)","tutorial","tutorial.soloFlow[0].title","進入單機對戰","Enter Single Player",""
"i18n(页面模块)","tutorial","tutorial.soloFlow[0].body","從首頁點「單機對戰」。如果沒有測評結果，會先去測評；如果已經測評，直接進入單機設置大廳。","Tap ""Single Player"" on the home page. If you have no assessment result, you go to the assessment first; if already assessed, you go straight to the single-player setup lobby.",""
"i18n(页面模块)","tutorial","tutorial.soloFlow[1].title","選擇 AI 難度","Choose AI Difficulty",""
"i18n(页面模块)","tutorial","tutorial.soloFlow[1].body","簡單偏隨機，中等會做基礎歸檔判斷，困難會更積極推測你的牌。","Easy is more random, Medium makes basic declaration judgements, and Hard guesses your cards more aggressively.",""
"i18n(页面模块)","tutorial","tutorial.soloFlow[2].title","選擇輪數","Choose the Number of Rounds",""
"i18n(页面模块)","tutorial","tutorial.soloFlow[2].body","5 / 10 / 15 / 無限都可以。無限會一直打到有人食胡或牌局自然結束。","5 / 10 / 15 / Unlimited all work. Unlimited keeps going until someone Wins or the game ends naturally.",""
"i18n(页面模块)","tutorial","tutorial.soloFlow[3].title","確認對手陣容","Confirm the Opponents",""
"i18n(页面模块)","tutorial","tutorial.soloFlow[3].body","單機固定是你 + 3 個 AI。AI 會按自己的策略抽牌、棄牌、碰牌和食胡。","Single player is always you + 3 AI opponents. The AI draws, discards, Pongs, and Wins by its own strategy.",""
"i18n(页面模块)","tutorial","tutorial.soloFlow[4].title","開始遊戲","Start the Game",""
"i18n(页面模块)","tutorial","tutorial.soloFlow[4].body","進入牌桌後流程和聯機一致：抽牌、查看、歸檔、棄牌、響應別人棄牌。","Once at the table the flow matches online play: draw, view, declare, discard, and respond to others’ discards.",""
"i18n(页面模块)","tutorial","tutorial.steps[0].title","你的目標","Your Goal",""
"i18n(页面模块)","tutorial","tutorial.steps[0].body","5 個人格維度（開放性、盡責性、外向性、宜人性、神經質）全部完成「公開歸檔」，先達成的玩家獲勝。每個維度需要湊多少張，取決於你自己的測評分數 —— 所以每個人的「胡牌路線」都不一樣。","Complete a ""Declared"" set for all 5 personality dimensions (Openness, Conscientiousness, Extraversion, Agreeableness, Neuroticism); the first player to do so wins. How many cards each dimension needs comes from your own assessment score — so every player has a different path to a win.",""
"i18n(页面模块)","tutorial","tutorial.steps[1].title","牌桌","The Table",""
"i18n(页面模块)","tutorial","tutorial.steps[1].body","單機固定 4 人（你 + 3 個 AI）；聯機 1 到 3 名玩家。牌堆會依人數縮放。牌分兩類：帶顏色標記的「人格描述牌」（屬於某一維度），以及無維度歸屬的「檔案註記 / 知識牌」（中立，可棄可觀察對手風格）。","Single player is always 4 players (you + 3 AI); online is 1 to 3 players. The draw pile scales with the player count. Cards come in two kinds: color-tagged ""personality description cards"" (belonging to one dimension), and the dimensionless ""Knowledge cards"" (neutral — discardable, and useful for reading opponents’ styles).",""
"i18n(页面模块)","tutorial","tutorial.steps[1].hint","初始手牌張數 = 5 個維度目標張數之和 − 1。少的那張要靠「碰」或「食胡」補齊。","Starting hand size = the sum of all 5 dimension targets − 1. The missing card must be completed via ""Pong"" or ""Win"".",""
"i18n(页面模块)","tutorial","tutorial.steps[2].title","抽牌","Draw",""
"i18n(页面模块)","tutorial","tutorial.steps[2].body","輪到你時，先點擊牌堆抽 1 張。如果你願意，可以一次性開啓「查看 2 張牌」的特權 —— 每回合最多 1 次，把任意 2 張未知的手牌真實人格揭開。用完即重置到下次回合。","On your turn, first tap the draw pile to draw 1 card. If you wish, you can activate the ""view 2 cards"" privilege once — at most once per turn — to reveal the true personality of any 2 unknown cards in your hand. It resets at the start of your next turn.",""
"i18n(页面模块)","tutorial","tutorial.steps[3].title","出牌","Discard",""
"i18n(页面模块)","tutorial","tutorial.steps[3].body","抽完後選 1 張你不需要的丟到中間的棄牌堆。被棄出的牌進入「心理判讀窗口」，其他 3 名玩家有幾秒鐘決定是否要「碰」（同維度歸檔）或「食胡」（直接勝利）。","After drawing, pick 1 card you do not need and discard it to the pile in the middle. The discarded card opens a ""psychological read window"" where the other 3 players have a few seconds to decide whether to ""Pong"" (same-dimension declaration) or ""Win"" (instant victory).",""
"i18n(页面模块)","tutorial","tutorial.steps[4].title","碰（公開歸檔）","Pong (Declare)",""
